featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Diluk,Diluk,,28.2991125,8.443792094,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Kwel,Kwel,,28.42658532,8.445395602,Warrap,Gogrial East,Pathuon East,Angernger,41,28.59139128,8.600532026,1199,28.44939785,8.40331691,277,28.51629214,8.292493109
Along,Along,,28.58169336,8.449913793,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Mayen,Mayen,,28.12006432,8.452760353,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
Gerabak,Gerabak,,28.15453572,8.455347689,Warrap,Gogrial West,Kuac North,Majok,42,28.10580194,8.57656553,1231,28.14943055,8.368111209,288,28.06175026,8.329215081
N'gob Riang,Ngob Riang,,28.22951882,8.455435739,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Maryal,Maryal,,27.95149047,8.457516888,Warrap,Gogrial West,Gogrial,Maluilajak,42,28.10580194,8.57656553,1226,27.9760807,8.467592431,287,28.03302642,8.496977221
Pagai,Pagai,,27.91555854,8.458164072,Warrap,Gogrial West,Gogrial,Maluilajak,42,28.10580194,8.57656553,1226,27.9760807,8.467592431,287,28.03302642,8.496977221
Matern,Matern,,28.53497127,8.469309569,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Pagak,Pagak,,28.35283,8.47233,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Raga,Raga,,28.4740617,8.473252579,Warrap,Gogrial East,Pathuon East,Angernger,41,28.59139128,8.600532026,1199,28.44939785,8.40331691,277,28.51629214,8.292493109
Mawal,Mawal,,28.61508407,8.4756059,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Ti Gum,Ti Gum,,28.55323573,8.477639275,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Mayom,Mayom,,28.31300339,8.478557579,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Pan Dow,Pan Dow,,28.02488479,8.480130981,Warrap,Gogrial West,Gogrial,Maluilajak,42,28.10580194,8.57656553,1226,27.9760807,8.467592431,287,28.03302642,8.496977221
Nondia,Nondia,,28.80834365,8.482549954,Warrap,Tonj North,Aliek,Rorkou,44,28.9168122,8.246538645,1283,28.7831113,8.407216825,304,28.81278994,8.558606593
Fan Num Tiang,Fan Num Tiang,,29.05,8.4833333,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Moing Jang,Moing Jang,,28.11533791,8.484870232,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Dwoich,Dwoich,,28.39257628,8.491709928,Warrap,Gogrial East,Toch North,Mayomchol,41,28.59139128,8.600532026,1207,28.4000035,8.409043133,280,28.54515069,8.757233115
Powang,Powang,,28.02816693,8.494063489,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
Raik,Raik,,28.1619224,8.50310055,Warrap,Gogrial West,Kuac North,Majok,42,28.10580194,8.57656553,1231,28.14943055,8.368111209,288,28.06175026,8.329215081
Akok,Akok,,28.98150115,8.505816662,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Bolich,Bolich,,28.57704512,8.511449494,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Adir,Adir,,27.93769702,8.513464435,Warrap,Gogrial West,Gogrial,Maluilajak,42,28.10580194,8.57656553,1226,27.9760807,8.467592431,287,28.03302642,8.496977221
